Band,Wavelength,High,Mid 1,Mid 2,Low
168,1213.64563,0.232588,0.240158,0.260601,0.362954
169,1218.65564,0.23296,0.239272,0.261937,0.363326
170,1223.665649,0.234507,0.241438,0.262337,0.365369
171,1228.665649,0.236927,0.244226,0.263989,0.367549
172,1233.675659,0.23974,0.24708,0.266459,0.368595
173,1238.685669,0.24114,0.248649,0.267591,0.370239
174,1243.695679,0.241926,0.24925,0.269143,0.374347
175,1248.705688,0.24323,0.250112,0.270939,0.376042
176,1253.715698,0.246085,0.251956,0.271729,0.37625
177,1258.725708,0.24684,0.253064,0.271623,0.377568
178,1263.725708,0.248757,0.254064,0.274303,0.380369
179,1268.735596,0.248094,0.255585,0.274959,0.381275
180,1273.745605,0.249947,0.256619,0.274693,0.37974
181,1278.755615,0.250678,0.256592,0.277315,0.382975
182,1283.765625,0.252484,0.258126,0.277599,0.384331
183,1288.775635,0.2528,0.258857,0.278603,0.38681
184,1293.785645,0.25237,0.258243,0.28084,0.388455
185,1298.795654,0.255439,0.260216,0.281935,0.390566
186,1303.795654,0.254852,0.260247,0.283085,0.389499
187,1308.805664,0.254572,0.258003,0.28106,0.394988
188,1313.815674,0.252454,0.256271,0.282871,0.393755
189,1318.825684,0.252169,0.256514,0.282266,0.39673
190,1323.835693,0.253272,0.256537,0.282653,0.395695
191,1328.845703,0.249955,0.252019,0.283863,0.39654
192,1333.855591,0.249141,0.250815,0.282973,0.398612
193,1338.855591,0.245711,0.248766,0.28253,0.399493
194,1343.865601,0.243073,0.243777,0.279648,0.406825
195,1348.87561,0.248306,0.243743,0.293124,0.389073
196,1353.88562,0.287799,0.278479,0.263915,0.462972
197,1358.89563,0.274104,0.231097,0.253598,0.428217
198,1363.90564,0.222786,0.237483,0.276192,0.396433
199,1368.915649,0.230284,0.240211,0.295536,0.41507
200,1373.925659,0.326134,0.272746,0.284007,0.45179
201,1378.925659,0.308401,0.28111,0.321188,0.383196
202,1383.935669,0.354471,0.331708,0.246794,0.312556
203,1388.945679,0.297931,0.301771,0.273742,0.314513
204,1393.955688,0.278242,0.278786,0.280739,0.283004
205,1398.965698,0.178066,0.229941,0.176881,0.291232
206,1403.975708,0.233234,0.223499,0.270483,0.242222
207,1408.985596,0.221524,0.186902,0.247686,0.27022
208,1413.985596,0.185243,0.212327,0.245395,0.352589
209,1418.995605,0.189522,0.197465,0.239918,0.355881
210,1424.005615,0.206122,0.201082,0.26045,0.376113
211,1429.015625,0.19973,0.200693,0.250563,0.379565
212,1434.025635,0.198833,0.196574,0.250088,0.367816
213,1439.035645,0.188962,0.195042,0.251326,0.360775
214,1444.045654,0.195167,0.199643,0.253447,0.355373
215,1449.055664,0.198749,0.200221,0.251804,0.360274
216,1454.055664,0.191841,0.191415,0.247211,0.350272
217,1459.065674,0.191094,0.191161,0.244188,0.360125
218,1464.075684,0.18959,0.189474,0.240807,0.354124
219,1469.085693,0.188071,0.186877,0.239738,0.348741
220,1474.095703,0.180045,0.181478,0.234171,0.339666
221,1479.105591,0.1847,0.183548,0.232006,0.341136
222,1484.115601,0.187183,0.186271,0.237068,0.346965
223,1489.115601,0.187907,0.188868,0.237369,0.345885
224,1494.12561,0.195284,0.194691,0.245192,0.357156
225,1499.13562,0.199709,0.199879,0.250833,0.366513
226,1504.14563,0.198473,0.197911,0.247593,0.36579
227,1509.15564,0.201487,0.201279,0.251167,0.371444
228,1514.165649,0.204868,0.205146,0.254624,0.378438
229,1519.175659,0.208649,0.208094,0.25714,0.37937
230,1524.185669,0.210605,0.210445,0.260511,0.382226
231,1529.185669,0.211552,0.210788,0.261083,0.382289
232,1534.195679,0.21355,0.213463,0.264312,0.383228
233,1539.205688,0.215412,0.214275,0.26443,0.384641
234,1544.215698,0.215868,0.215632,0.264345,0.386353
235,1549.225708,0.217324,0.217602,0.26651,0.390247
236,1554.235596,0.218364,0.21712,0.264958,0.390716
237,1559.245605,0.217569,0.217534,0.266054,0.390848
238,1564.245605,0.217107,0.216568,0.263905,0.390668
239,1569.255615,0.216662,0.214631,0.263173,0.389633
240,1574.265625,0.216768,0.215663,0.262946,0.388425
241,1579.275635,0.216764,0.215875,0.262496,0.389498
242,1584.285645,0.219023,0.217848,0.26328,0.39246
243,1589.295654,0.221746,0.220621,0.267197,0.396925
244,1594.305664,0.222249,0.221136,0.267893,0.398268
245,1599.315674,0.226391,0.223202,0.27127,0.401008
246,1604.315674,0.228438,0.227985,0.272601,0.405567
247,1609.325684,0.232093,0.229897,0.275861,0.40952
248,1614.335693,0.231611,0.230422,0.277406,0.409607
249,1619.345703,0.232992,0.231884,0.278282,0.410626
250,1624.355591,0.235204,0.233569,0.278852,0.410403
251,1629.365601,0.236502,0.235243,0.2795,0.411759
252,1634.37561,0.236845,0.235611,0.280421,0.413591
253,1639.37561,0.238463,0.235969,0.280777,0.412939
254,1644.38562,0.238325,0.236403,0.281662,0.414159
255,1649.39563,0.239273,0.237423,0.283141,0.418954
256,1654.40564,0.23833,0.236451,0.281696,0.416505
257,1659.415649,0.239856,0.238238,0.283312,0.418227
258,1664.425659,0.240963,0.238641,0.283912,0.420349
259,1669.435669,0.240415,0.238587,0.284283,0.420908
260,1674.445679,0.240873,0.239419,0.286405,0.424517
261,1679.445679,0.242078,0.239883,0.286316,0.423989
262,1684.455688,0.241279,0.23947,0.285618,0.426812
263,1689.465698,0.240791,0.238649,0.284766,0.426101
264,1694.475708,0.239371,0.236546,0.283071,0.421509
265,1699.485596,0.237344,0.235275,0.281374,0.422391
266,1704.495605,0.235855,0.234278,0.279612,0.422657
267,1709.505615,0.235174,0.23419,0.278004,0.417797
268,1714.505615,0.232056,0.231477,0.277002,0.416549
269,1719.515625,0.232522,0.231035,0.276785,0.416191
270,1724.525635,0.229823,0.229542,0.275271,0.412514
271,1729.535645,0.230364,0.228881,0.275196,0.408931
272,1734.545654,0.230316,0.229243,0.277122,0.40836
273,1739.555664,0.231638,0.23089,0.278233,0.404664
274,1744.565674,0.234295,0.231941,0.277534,0.403645
275,1749.575684,0.231625,0.230316,0.278572,0.401732
276,1754.575684,0.232424,0.230307,0.278028,0.403368
277,1759.585693,0.231126,0.228494,0.277421,0.402583
278,1764.595703,0.230106,0.228134,0.276019,0.405079
279,1769.605591,0.229057,0.227472,0.276261,0.405386
280,1774.615601,0.231947,0.229379,0.276413,0.408326
281,1779.62561,0.228248,0.225375,0.274617,0.400195
282,1784.63562,0.230375,0.226816,0.275926,0.409745
283,1789.63562,0.231652,0.227665,0.282074,0.405895
284,1794.64563,0.226084,0.22429,0.271328,0.403221
285,1799.65564,0.228222,0.220102,0.280819,0.398744
286,1804.665649,0.22666,0.221994,0.268502,0.399518
287,1809.675659,0.222727,0.222751,0.273227,0.411111
288,1814.685669,0.231686,0.230644,0.260567,0.390992
289,1819.695679,0.284208,0.236754,0.279057,0.264379
290,1824.705688,0.172354,0.290349,0.265724,0.258852
291,1829.705688,0.305259,0.28113,0.317023,0.335469
292,1834.715698,0.304888,0.300286,0.300626,0.348457
293,1839.725708,0.297191,0.297715,0.297101,0.302591
294,1844.735596,0.270785,0.313876,0.306567,0.273698
295,1849.745605,0.254024,0.268745,0.27975,0.296188
296,1854.755615,0.165893,0.228816,0.279763,0.260767
297,1859.765625,0.236768,0.254919,0.292638,0.209117
298,1864.775635,0.230916,0.213166,0.297722,0.251201
299,1869.775635,0.202981,0.183624,0.248068,0.28761
300,1874.785645,0.128815,0.156651,0.273712,0.262163
301,1879.795654,0.263797,0.251669,0.239241,0.251656
302,1884.805664,0.161108,0.234116,0.24411,0.288976
303,1889.815674,0.217502,0.24282,0.282908,0.325341
304,1894.825684,0.189317,0.238928,0.298811,0.282328
305,1899.835693,0.197031,0.237346,0.261404,0.264388
306,1904.835693,0.176777,0.274198,0.266087,0.191469
307,1909.845703,0.236571,0.167157,0.273899,0.228146
308,1914.855591,0.219033,0.228935,0.259277,0.217317
309,1919.865601,0.210818,0.251983,0.261202,0.178072
310,1924.87561,0.166203,0.16333,0.210048,0.273601
311,1929.88562,0.139471,0.191684,0.177071,0.224628
312,1934.89563,0.188708,0.139686,0.204119,0.230636
313,1939.90564,0.185681,0.186462,0.214485,0.240687
