Band,Wavelength,High,Mid 1,Mid 2,Low
161,1178.585693,0.213546,0.204839,0.243231,0.242392
162,1183.595703,0.213305,0.204719,0.240226,0.239342
163,1188.595703,0.213144,0.203471,0.243315,0.241672
164,1193.605591,0.213261,0.204391,0.241859,0.241662
165,1198.615601,0.214502,0.206889,0.241952,0.242277
166,1203.62561,0.214366,0.205241,0.24409,0.243125
167,1208.63562,0.216023,0.207581,0.246625,0.245362
168,1213.64563,0.218468,0.209321,0.248024,0.24607
169,1218.65564,0.219937,0.208666,0.247886,0.247983
170,1223.665649,0.221312,0.2112,0.249279,0.248196
171,1228.665649,0.221326,0.21288,0.251776,0.251134
172,1233.675659,0.224674,0.214715,0.254712,0.254309
173,1238.685669,0.22732,0.216994,0.254988,0.254422
174,1243.695679,0.226992,0.217942,0.256217,0.255463
175,1248.705688,0.2292,0.218148,0.257721,0.256868
176,1253.715698,0.231071,0.221384,0.260596,0.259517
177,1258.725708,0.230802,0.22034,0.259103,0.257205
178,1263.725708,0.231774,0.222056,0.259096,0.257637
179,1268.735596,0.234824,0.223304,0.262892,0.262097
180,1273.745605,0.236786,0.22516,0.264001,0.262967
181,1278.755615,0.236882,0.22512,0.264202,0.264073
182,1283.765625,0.237017,0.225028,0.265518,0.264311
183,1288.775635,0.237034,0.226696,0.268079,0.266045
184,1293.785645,0.23837,0.227072,0.269436,0.268222
185,1298.795654,0.239174,0.229002,0.270231,0.267741
186,1303.795654,0.237064,0.228518,0.271812,0.268661
187,1308.805664,0.234896,0.224627,0.268611,0.264688
188,1313.815674,0.232359,0.220896,0.267282,0.264725
189,1318.825684,0.229134,0.218637,0.266841,0.262831
190,1323.835693,0.228167,0.220094,0.268885,0.263132
191,1328.845703,0.229651,0.215647,0.261425,0.254968
192,1333.855591,0.224112,0.216218,0.263884,0.260356
193,1338.855591,0.227984,0.220982,0.274619,0.268828
194,1343.865601,0.218532,0.213924,0.264856,0.255612
195,1348.87561,0.216169,0.206875,0.258749,0.253678
196,1353.88562,0.215988,0.219153,0.212044,0.21394
197,1358.89563,0.30951,0.25421,0.214846,0.260026
198,1363.90564,0.492639,0.446637,0.566566,0.561999
199,1368.915649,0.498114,0.51675,0.42438,0.451788
200,1373.925659,0.523715,0.475232,0.446994,0.426051
