Model#,#EM,Model,BARE SOIL,GREEN VEG,NPV,WATER,BARE SOIL_lib#,GREEN VEG_lib#,NPV_lib#,WATER_lib#,#pixels,%pixels
108,2,BARE SOIL-GREEN VEG,BareSoil_X225_Y62,greenveg_X196_Y48,,,7,14,,,17,    0.014895
109,2,BARE SOIL-GREEN VEG,BareSoil_X225_Y62,greenveg_X198_Y130,,,7,15,,,39,    0.034170
110,2,BARE SOIL-GREEN VEG,BareSoil_X225_Y62,greenveg_X214_Y133,,,7,16,,,13,    0.011390
111,2,BARE SOIL-GREEN VEG,BareSoil_X225_Y62,greenveg_X214_Y163,,,7,17,,,44,    0.038551
112,2,BARE SOIL-GREEN VEG,BareSoil_X225_Y62,greenveg_X214_Y199,,,7,18,,,49,    0.042932
113,2,BARE SOIL-GREEN VEG,BareSoil_X225_Y62,greenveg_X218_Y247,,,7,19,,,1172,    1.026863
114,2,BARE SOIL-GREEN VEG,BareSoil_X225_Y62,greenveg_X225_Y41,,,7,20,,,106,    0.092873
115,2,BARE SOIL-GREEN VEG,BareSoil_X225_Y62,greenveg_X83_Y198,,,7,21,,,228,    0.199765
116,2,BARE SOIL-GREEN VEG,BareSoil_X225_Y62,Pickleweed_X176_Y92,,,7,22,,,129,    0.113025
117,2,BARE SOIL-GREEN VEG,BareSoil_X225_Y62,Pickleweed_X185_Y145,,,7,23,,,3,    0.002628
118,2,BARE SOIL-GREEN VEG,BareSoil_X225_Y62,Pickleweed_X198_Y51,,,7,24,,,103,    0.090245
119,2,BARE SOIL-GREEN VEG,BareSoil_X225_Y62,Uplands_X168_Y121,,,7,25,,,151,    0.132301
120,2,BARE SOIL-GREEN VEG,BareSoil_X225_Y62,Uplands_X188_Y51,,,7,26,,,48,    0.042056
121,2,BARE SOIL-GREEN VEG,soil_X168_Y150,greenveg_X186_Y103,,,8,12,,,104,    0.091121
122,2,BARE SOIL-GREEN VEG,soil_X168_Y150,greenveg_X196_Y133,,,8,13,,,50,    0.043808
123,2,BARE SOIL-GREEN VEG,soil_X168_Y150,greenveg_X196_Y48,,,8,14,,,13,    0.011390
124,2,BARE SOIL-GREEN VEG,soil_X168_Y150,greenveg_X198_Y130,,,8,15,,,51,    0.044684
125,2,BARE SOIL-GREEN VEG,soil_X168_Y150,greenveg_X214_Y133,,,8,16,,,91,    0.079731
126,2,BARE SOIL-GREEN VEG,soil_X168_Y150,greenveg_X214_Y163,,,8,17,,,13,    0.011390
127,2,BARE SOIL-GREEN VEG,soil_X168_Y150,greenveg_X214_Y199,,,8,18,,,90,    0.078855
128,2,BARE SOIL-GREEN VEG,soil_X168_Y150,greenveg_X218_Y247,,,8,19,,,98,    0.085864
129,2,BARE SOIL-GREEN VEG,soil_X168_Y150,greenveg_X225_Y41,,,8,20,,,7,    0.006133
130,2,BARE SOIL-GREEN VEG,soil_X168_Y150,greenveg_X83_Y198,,,8,21,,,28,    0.024533
131,2,BARE SOIL-GREEN VEG,soil_X168_Y150,Pickleweed_X176_Y92,,,8,22,,,11,    0.009638
132,2,BARE SOIL-GREEN VEG,soil_X168_Y150,Pickleweed_X185_Y145,,,8,23,,,0,0
133,2,BARE SOIL-GREEN VEG,soil_X168_Y150,Pickleweed_X198_Y51,,,8,24,,,34,    0.029790
134,2,BARE SOIL-GREEN VEG,soil_X168_Y150,Uplands_X168_Y121,,,8,25,,,42,    0.036799
135,2,BARE SOIL-GREEN VEG,soil_X168_Y150,Uplands_X188_Y51,,,8,26,,,0,0
136,2,BARE SOIL-GREEN VEG,soil_X174_Y161,greenveg_X186_Y103,,,9,12,,,52,    0.045560
137,2,BARE SOIL-GREEN VEG,soil_X174_Y161,greenveg_X196_Y133,,,9,13,,,19,    0.016647
138,2,BARE SOIL-GREEN VEG,soil_X174_Y161,greenveg_X196_Y48,,,9,14,,,22,    0.019276
139,2,BARE SOIL-GREEN VEG,soil_X174_Y161,greenveg_X198_Y130,,,9,15,,,51,    0.044684
140,2,BARE SOIL-GREEN VEG,soil_X174_Y161,greenveg_X214_Y133,,,9,16,,,7,    0.006133
141,2,BARE SOIL-GREEN VEG,soil_X174_Y161,greenveg_X214_Y163,,,9,17,,,3,    0.002628
142,2,BARE SOIL-GREEN VEG,soil_X174_Y161,greenveg_X214_Y199,,,9,18,,,14,    0.012266
143,2,BARE SOIL-GREEN VEG,soil_X174_Y161,greenveg_X218_Y247,,,9,19,,,38,    0.033294
144,2,BARE SOIL-GREEN VEG,soil_X174_Y161,greenveg_X225_Y41,,,9,20,,,2,    0.001752
145,2,BARE SOIL-GREEN VEG,soil_X174_Y161,greenveg_X83_Y198,,,9,21,,,8,    0.007009
146,2,BARE SOIL-GREEN VEG,soil_X174_Y161,Pickleweed_X176_Y92,,,9,22,,,0,0
147,2,BARE SOIL-GREEN VEG,soil_X174_Y161,Pickleweed_X185_Y145,,,9,23,,,25,    0.021904
148,2,BARE SOIL-GREEN VEG,soil_X174_Y161,Pickleweed_X198_Y51,,,9,24,,,46,    0.040304
149,2,BARE SOIL-GREEN VEG,soil_X174_Y161,Uplands_X168_Y121,,,9,25,,,199,    0.174356
150,2,BARE SOIL-GREEN VEG,soil_X174_Y161,Uplands_X188_Y51,,,9,26,,,9,    0.007885
151,2,BARE SOIL-GREEN VEG,soil_X182_Y152,greenveg_X186_Y103,,,10,12,,,105,    0.091997
152,2,BARE SOIL-GREEN VEG,soil_X182_Y152,greenveg_X196_Y133,,,10,13,,,7,    0.006133
153,2,BARE SOIL-GREEN VEG,soil_X182_Y152,greenveg_X196_Y48,,,10,14,,,29,    0.025409
154,2,BARE SOIL-GREEN VEG,soil_X182_Y152,greenveg_X198_Y130,,,10,15,,,129,    0.113025
155,2,BARE SOIL-GREEN VEG,soil_X182_Y152,greenveg_X214_Y133,,,10,16,,,138,    0.120911
156,2,BARE SOIL-GREEN VEG,soil_X182_Y152,greenveg_X214_Y163,,,10,17,,,22,    0.019276
157,2,BARE SOIL-GREEN VEG,soil_X182_Y152,greenveg_X214_Y199,,,10,18,,,305,    0.267230
158,2,BARE SOIL-GREEN VEG,soil_X182_Y152,greenveg_X218_Y247,,,10,19,,,84,    0.073598
159,2,BARE SOIL-GREEN VEG,soil_X182_Y152,greenveg_X225_Y41,,,10,20,,,67,    0.058703
160,2,BARE SOIL-GREEN VEG,soil_X182_Y152,greenveg_X83_Y198,,,10,21,,,84,    0.073598
161,2,BARE SOIL-GREEN VEG,soil_X182_Y152,Pickleweed_X176_Y92,,,10,22,,,175,    0.153329
162,2,BARE SOIL-GREEN VEG,soil_X182_Y152,Pickleweed_X185_Y145,,,10,23,,,48,    0.042056
163,2,BARE SOIL-GREEN VEG,soil_X182_Y152,Pickleweed_X198_Y51,,,10,24,,,130,    0.113901
164,2,BARE SOIL-GREEN VEG,soil_X182_Y152,Uplands_X168_Y121,,,10,25,,,548,    0.480137
