Model#,#EM,Model,ALGAE/WATER,BARE SOIL,PICKLEWEED,SHALLOW WATER,UPLANDS,WATER,ALGAE/WATER_lib#,BARE SOIL_lib#,PICKLEWEED_lib#,SHALLOW WATER_lib#,UPLANDS_lib#,WATER_lib#,#pixels,%pixels
110,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X177_Y217,,220302b.20m.asd                 No-OAR,,,,3,,24,,,,0,0
111,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X177_Y217,,220302b.24m.asd                 No-OAR,,,,3,,25,,,,1,    0.000876
112,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X177_Y217,,220302b.26m.asd                 No-OAR,,,,3,,26,,,,0,0
113,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X177_Y217,,Pickleweed_X173_Y144,,,,3,,27,,,,0,0
114,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X177_Y217,,Pickleweed_X175_Y140,,,,3,,28,,,,0,0
115,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X177_Y217,,Pickleweed_X175_Y92,,,,3,,29,,,,0,0
116,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X177_Y217,,Pickleweed_X177_Y93,,,,3,,30,,,,0,0
117,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X177_Y217,,Pickleweed_X178_Y93,,,,3,,31,,,,0,0
118,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X177_Y217,,Pickleweed_X195_Y52,,,,3,,32,,,,0,0
119,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X177_Y217,,Pickleweed_X198_Y50,,,,3,,33,,,,0,0
120,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X177_Y217,,Pickleweed_X200_Y50,,,,3,,34,,,,0,0
121,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X177_Y217,,Pickleweed_X201_Y50,,,,3,,35,,,,0,0
122,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X177_Y217,,Pickleweed_X201_Y50,,,,3,,36,,,,0,0
123,2,ALGAE/WATER-PICKLEWEED,Algae/Water_X177_Y217,,Pickleweed_X217_Y163,,,,3,,37,,,,0,0
124,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X171_Y224,,,ShallowWater_X137_Y49,,,0,,,38,,,0,0
125,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X171_Y224,,,ShallowWater_X200_Y54,,,0,,,39,,,0,0
126,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X171_Y224,,,ShallowWater_X200_Y59,,,0,,,40,,,0,0
127,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X171_Y224,,,ShallowWater_X200_Y60,,,0,,,41,,,0,0
128,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X171_Y224,,,ShallowWater_X202_Y211,,,0,,,42,,,0,0
129,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X171_Y224,,,ShallowWater_X203_Y211,,,0,,,43,,,0,0
130,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X172_Y224,,,ShallowWater_X137_Y49,,,1,,,38,,,0,0
131,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X172_Y224,,,ShallowWater_X200_Y54,,,1,,,39,,,0,0
132,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X172_Y224,,,ShallowWater_X200_Y59,,,1,,,40,,,0,0
133,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X172_Y224,,,ShallowWater_X200_Y60,,,1,,,41,,,0,0
134,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X172_Y224,,,ShallowWater_X202_Y211,,,1,,,42,,,0,0
135,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X172_Y224,,,ShallowWater_X203_Y211,,,1,,,43,,,0,0
136,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X176_Y217,,,ShallowWater_X137_Y49,,,2,,,38,,,0,0
137,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X176_Y217,,,ShallowWater_X200_Y54,,,2,,,39,,,0,0
138,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X176_Y217,,,ShallowWater_X200_Y59,,,2,,,40,,,0,0
139,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X176_Y217,,,ShallowWater_X200_Y60,,,2,,,41,,,0,0
140,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X176_Y217,,,ShallowWater_X202_Y211,,,2,,,42,,,0,0
141,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X176_Y217,,,ShallowWater_X203_Y211,,,2,,,43,,,0,0
142,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X177_Y217,,,ShallowWater_X137_Y49,,,3,,,38,,,0,0
143,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X177_Y217,,,ShallowWater_X200_Y54,,,3,,,39,,,0,0
144,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X177_Y217,,,ShallowWater_X200_Y59,,,3,,,40,,,0,0
145,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X177_Y217,,,ShallowWater_X200_Y60,,,3,,,41,,,0,0
146,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X177_Y217,,,ShallowWater_X202_Y211,,,3,,,42,,,0,0
147,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X177_Y217,,,ShallowWater_X203_Y211,,,3,,,43,,,0,0
148,2,ALGAE/WATER-UPLANDS,Algae/Water_X171_Y224,,,,Uplands_X143_Y104,,0,,,,47,,0,0
149,2,ALGAE/WATER-UPLANDS,Algae/Water_X171_Y224,,,,Uplands_X197_Y47,,0,,,,48,,0,0
150,2,ALGAE/WATER-UPLANDS,Algae/Water_X171_Y224,,,,Uplands_X232_Y23,,0,,,,49,,0,0
151,2,ALGAE/WATER-UPLANDS,Algae/Water_X171_Y224,,,,Uplands_X233_Y22,,0,,,,50,,0,0
152,2,ALGAE/WATER-UPLANDS,Algae/Water_X172_Y224,,,,Uplands_X143_Y104,,1,,,,47,,0,0
153,2,ALGAE/WATER-UPLANDS,Algae/Water_X172_Y224,,,,Uplands_X197_Y47,,1,,,,48,,0,0
154,2,ALGAE/WATER-UPLANDS,Algae/Water_X172_Y224,,,,Uplands_X232_Y23,,1,,,,49,,0,0
155,2,ALGAE/WATER-UPLANDS,Algae/Water_X172_Y224,,,,Uplands_X233_Y22,,1,,,,50,,0,0
156,2,ALGAE/WATER-UPLANDS,Algae/Water_X176_Y217,,,,Uplands_X143_Y104,,2,,,,47,,0,0
157,2,ALGAE/WATER-UPLANDS,Algae/Water_X176_Y217,,,,Uplands_X197_Y47,,2,,,,48,,0,0
158,2,ALGAE/WATER-UPLANDS,Algae/Water_X176_Y217,,,,Uplands_X232_Y23,,2,,,,49,,0,0
159,2,ALGAE/WATER-UPLANDS,Algae/Water_X176_Y217,,,,Uplands_X233_Y22,,2,,,,50,,0,0
160,2,ALGAE/WATER-UPLANDS,Algae/Water_X177_Y217,,,,Uplands_X143_Y104,,3,,,,47,,0,0
161,2,ALGAE/WATER-UPLANDS,Algae/Water_X177_Y217,,,,Uplands_X197_Y47,,3,,,,48,,0,0
162,2,ALGAE/WATER-UPLANDS,Algae/Water_X177_Y217,,,,Uplands_X232_Y23,,3,,,,49,,0,0
163,2,ALGAE/WATER-UPLANDS,Algae/Water_X177_Y217,,,,Uplands_X233_Y22,,3,,,,50,,0,0
164,2,ALGAE/WATER-WATER,Algae/Water_X171_Y224,,,,,Water_X174_Y193,0,,,,,51,0,0
165,2,ALGAE/WATER-WATER,Algae/Water_X171_Y224,,,,,Water_X198_Y103,0,,,,,52,0,0
166,2,ALGAE/WATER-WATER,Algae/Water_X171_Y224,,,,,Water_X199_Y103,0,,,,,53,0,0
167,2,ALGAE/WATER-WATER,Algae/Water_X171_Y224,,,,,Water_X210_Y122,0,,,,,54,0,0
168,2,ALGAE/WATER-WATER,Algae/Water_X172_Y224,,,,,Water_X174_Y193,1,,,,,51,0,0
