Model#,#EM,Model,ALGAE/WATER,BARE SOIL,PICKLEWEED,SHALLOW WATER,UPLANDS,WATER,ALGAE/WATER_lib#,BARE SOIL_lib#,PICKLEWEED_lib#,SHALLOW WATER_lib#,UPLANDS_lib#,WATER_lib#,#pixels,%pixels
103,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X171_Y224,,,ShallowWater_X137_Y49,,,0,,,34,,,0,0
104,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X171_Y224,,,ShallowWater_X198_Y199,,,0,,,35,,,0,0
105,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X171_Y224,,,ShallowWater_X200_Y59,,,0,,,36,,,0,0
106,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X171_Y224,,,ShallowWater_X200_Y60,,,0,,,37,,,0,0
107,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X171_Y224,,,ShallowWater_X202_Y211,,,0,,,38,,,0,0
108,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X171_Y224,,,ShallowWater_X203_Y211,,,0,,,39,,,0,0
109,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X172_Y224,,,ShallowWater_X137_Y49,,,1,,,34,,,0,0
110,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X172_Y224,,,ShallowWater_X198_Y199,,,1,,,35,,,0,0
111,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X172_Y224,,,ShallowWater_X200_Y59,,,1,,,36,,,0,0
112,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X172_Y224,,,ShallowWater_X200_Y60,,,1,,,37,,,0,0
113,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X172_Y224,,,ShallowWater_X202_Y211,,,1,,,38,,,0,0
114,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X172_Y224,,,ShallowWater_X203_Y211,,,1,,,39,,,0,0
115,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X176_Y217,,,ShallowWater_X137_Y49,,,2,,,34,,,0,0
116,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X176_Y217,,,ShallowWater_X198_Y199,,,2,,,35,,,0,0
117,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X176_Y217,,,ShallowWater_X200_Y59,,,2,,,36,,,0,0
118,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X176_Y217,,,ShallowWater_X200_Y60,,,2,,,37,,,0,0
119,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X176_Y217,,,ShallowWater_X202_Y211,,,2,,,38,,,0,0
120,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X176_Y217,,,ShallowWater_X203_Y211,,,2,,,39,,,0,0
121,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X177_Y217,,,ShallowWater_X137_Y49,,,3,,,34,,,0,0
122,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X177_Y217,,,ShallowWater_X198_Y199,,,3,,,35,,,3,    0.002628
123,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X177_Y217,,,ShallowWater_X200_Y59,,,3,,,36,,,0,0
124,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X177_Y217,,,ShallowWater_X200_Y60,,,3,,,37,,,0,0
125,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X177_Y217,,,ShallowWater_X202_Y211,,,3,,,38,,,0,0
126,2,ALGAE/WATER-SHALLOW WATER,Algae/Water_X177_Y217,,,ShallowWater_X203_Y211,,,3,,,39,,,0,0
127,2,ALGAE/WATER-UPLANDS,Algae/Water_X171_Y224,,,,Uplands_X143_Y104,,0,,,,43,,0,0
128,2,ALGAE/WATER-UPLANDS,Algae/Water_X171_Y224,,,,Uplands_X232_Y23,,0,,,,44,,0,0
129,2,ALGAE/WATER-UPLANDS,Algae/Water_X171_Y224,,,,Uplands_X233_Y22,,0,,,,45,,0,0
130,2,ALGAE/WATER-UPLANDS,Algae/Water_X172_Y224,,,,Uplands_X143_Y104,,1,,,,43,,0,0
131,2,ALGAE/WATER-UPLANDS,Algae/Water_X172_Y224,,,,Uplands_X232_Y23,,1,,,,44,,0,0
132,2,ALGAE/WATER-UPLANDS,Algae/Water_X172_Y224,,,,Uplands_X233_Y22,,1,,,,45,,0,0
133,2,ALGAE/WATER-UPLANDS,Algae/Water_X176_Y217,,,,Uplands_X143_Y104,,2,,,,43,,0,0
134,2,ALGAE/WATER-UPLANDS,Algae/Water_X176_Y217,,,,Uplands_X232_Y23,,2,,,,44,,0,0
135,2,ALGAE/WATER-UPLANDS,Algae/Water_X176_Y217,,,,Uplands_X233_Y22,,2,,,,45,,0,0
136,2,ALGAE/WATER-UPLANDS,Algae/Water_X177_Y217,,,,Uplands_X143_Y104,,3,,,,43,,0,0
137,2,ALGAE/WATER-UPLANDS,Algae/Water_X177_Y217,,,,Uplands_X232_Y23,,3,,,,44,,0,0
138,2,ALGAE/WATER-UPLANDS,Algae/Water_X177_Y217,,,,Uplands_X233_Y22,,3,,,,45,,0,0
139,2,ALGAE/WATER-WATER,Algae/Water_X171_Y224,,,,,Water_X174_Y193,0,,,,,46,0,0
140,2,ALGAE/WATER-WATER,Algae/Water_X171_Y224,,,,,Water_X198_Y103,0,,,,,47,0,0
141,2,ALGAE/WATER-WATER,Algae/Water_X171_Y224,,,,,Water_X199_Y103,0,,,,,48,0,0
142,2,ALGAE/WATER-WATER,Algae/Water_X171_Y224,,,,,Water_X210_Y122,0,,,,,49,0,0
143,2,ALGAE/WATER-WATER,Algae/Water_X172_Y224,,,,,Water_X174_Y193,1,,,,,46,0,0
144,2,ALGAE/WATER-WATER,Algae/Water_X172_Y224,,,,,Water_X198_Y103,1,,,,,47,0,0
145,2,ALGAE/WATER-WATER,Algae/Water_X172_Y224,,,,,Water_X199_Y103,1,,,,,48,0,0
146,2,ALGAE/WATER-WATER,Algae/Water_X172_Y224,,,,,Water_X210_Y122,1,,,,,49,0,0
147,2,ALGAE/WATER-WATER,Algae/Water_X176_Y217,,,,,Water_X174_Y193,2,,,,,46,0,0
148,2,ALGAE/WATER-WATER,Algae/Water_X176_Y217,,,,,Water_X198_Y103,2,,,,,47,0,0
149,2,ALGAE/WATER-WATER,Algae/Water_X176_Y217,,,,,Water_X199_Y103,2,,,,,48,0,0
150,2,ALGAE/WATER-WATER,Algae/Water_X176_Y217,,,,,Water_X210_Y122,2,,,,,49,0,0
151,2,ALGAE/WATER-WATER,Algae/Water_X177_Y217,,,,,Water_X174_Y193,3,,,,,46,0,0
152,2,ALGAE/WATER-WATER,Algae/Water_X177_Y217,,,,,Water_X198_Y103,3,,,,,47,0,0
153,2,ALGAE/WATER-WATER,Algae/Water_X177_Y217,,,,,Water_X199_Y103,3,,,,,48,0,0
154,2,ALGAE/WATER-WATER,Algae/Water_X177_Y217,,,,,Water_X210_Y122,3,,,,,49,0,0
155,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y152,220302b.20m.asd                 No-OAR,,,,,4,21,,,,0,0
156,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y152,220302b.24m.asd                 No-OAR,,,,,4,22,,,,0,0
157,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y152,220302b.26m.asd                 No-OAR,,,,,4,23,,,,0,0
158,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y152,Pickleweed_X167_Y144,,,,,4,24,,,,0,0
159,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y152,Pickleweed_X168_Y144,,,,,4,25,,,,0,0
160,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y152,Pickleweed_X169_Y144,,,,,4,26,,,,0,0
161,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y152,Pickleweed_X177_Y93,,,,,4,27,,,,0,0
162,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y152,Pickleweed_X195_Y52,,,,,4,28,,,,0,0
163,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y152,Pickleweed_X198_Y50,,,,,4,29,,,,0,0
164,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y152,Pickleweed_X200_Y50,,,,,4,30,,,,0,0
165,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y152,Pickleweed_X201_Y50,,,,,4,31,,,,0,0
166,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y152,Pickleweed_X217_Y162,,,,,4,32,,,,0,0
167,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y152,Pickleweed_X217_Y163,,,,,4,33,,,,0,0
168,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y153,220302b.20m.asd                 No-OAR,,,,,5,21,,,,0,0
169,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y153,220302b.24m.asd                 No-OAR,,,,,5,22,,,,0,0
170,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y153,220302b.26m.asd                 No-OAR,,,,,5,23,,,,0,0
171,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y153,Pickleweed_X167_Y144,,,,,5,24,,,,0,0
172,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y153,Pickleweed_X168_Y144,,,,,5,25,,,,0,0
173,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y153,Pickleweed_X169_Y144,,,,,5,26,,,,0,0
174,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y153,Pickleweed_X177_Y93,,,,,5,27,,,,0,0
175,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y153,Pickleweed_X195_Y52,,,,,5,28,,,,0,0
176,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y153,Pickleweed_X198_Y50,,,,,5,29,,,,0,0
177,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y153,Pickleweed_X200_Y50,,,,,5,30,,,,0,0
178,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y153,Pickleweed_X201_Y50,,,,,5,31,,,,0,0
179,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y153,Pickleweed_X217_Y162,,,,,5,32,,,,0,0
180,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y153,Pickleweed_X217_Y163,,,,,5,33,,,,0,0
181,2,BARE SOIL-PICKLEWEED,,BareSoil_X179_Y153,220302b.20m.asd                 No-OAR,,,,,6,21,,,,0,0
182,2,BARE SOIL-PICKLEWEED,,BareSoil_X179_Y153,220302b.24m.asd                 No-OAR,,,,,6,22,,,,0,0
183,2,BARE SOIL-PICKLEWEED,,BareSoil_X179_Y153,220302b.26m.asd                 No-OAR,,,,,6,23,,,,0,0
184,2,BARE SOIL-PICKLEWEED,,BareSoil_X179_Y153,Pickleweed_X167_Y144,,,,,6,24,,,,0,0
185,2,BARE SOIL-PICKLEWEED,,BareSoil_X179_Y153,Pickleweed_X168_Y144,,,,,6,25,,,,0,0
186,2,BARE SOIL-PICKLEWEED,,BareSoil_X179_Y153,Pickleweed_X169_Y144,,,,,6,26,,,,0,0
187,2,BARE SOIL-PICKLEWEED,,BareSoil_X179_Y153,Pickleweed_X177_Y93,,,,,6,27,,,,0,0
188,2,BARE SOIL-PICKLEWEED,,BareSoil_X179_Y153,Pickleweed_X195_Y52,,,,,6,28,,,,0,0
189,2,BARE SOIL-PICKLEWEED,,BareSoil_X179_Y153,Pickleweed_X198_Y50,,,,,6,29,,,,0,0
190,2,BARE SOIL-PICKLEWEED,,BareSoil_X179_Y153,Pickleweed_X200_Y50,,,,,6,30,,,,0,0
191,2,BARE SOIL-PICKLEWEED,,BareSoil_X179_Y153,Pickleweed_X201_Y50,,,,,6,31,,,,0,0
192,2,BARE SOIL-PICKLEWEED,,BareSoil_X179_Y153,Pickleweed_X217_Y162,,,,,6,32,,,,0,0
193,2,BARE SOIL-PICKLEWEED,,BareSoil_X179_Y153,Pickleweed_X217_Y163,,,,,6,33,,,,0,0
194,2,BARE SOIL-PICKLEWEED,,BareSoil_X203_Y140,220302b.20m.asd                 No-OAR,,,,,7,21,,,,0,0
195,2,BARE SOIL-PICKLEWEED,,BareSoil_X203_Y140,220302b.24m.asd                 No-OAR,,,,,7,22,,,,0,0
196,2,BARE SOIL-PICKLEWEED,,BareSoil_X203_Y140,220302b.26m.asd                 No-OAR,,,,,7,23,,,,0,0
197,2,BARE SOIL-PICKLEWEED,,BareSoil_X203_Y140,Pickleweed_X167_Y144,,,,,7,24,,,,0,0
198,2,BARE SOIL-PICKLEWEED,,BareSoil_X203_Y140,Pickleweed_X168_Y144,,,,,7,25,,,,0,0
199,2,BARE SOIL-PICKLEWEED,,BareSoil_X203_Y140,Pickleweed_X169_Y144,,,,,7,26,,,,0,0
200,2,BARE SOIL-PICKLEWEED,,BareSoil_X203_Y140,Pickleweed_X177_Y93,,,,,7,27,,,,0,0
201,2,BARE SOIL-PICKLEWEED,,BareSoil_X203_Y140,Pickleweed_X195_Y52,,,,,7,28,,,,0,0
202,2,BARE SOIL-PICKLEWEED,,BareSoil_X203_Y140,Pickleweed_X198_Y50,,,,,7,29,,,,0,0
203,2,BARE SOIL-PICKLEWEED,,BareSoil_X203_Y140,Pickleweed_X200_Y50,,,,,7,30,,,,0,0
204,2,BARE SOIL-PICKLEWEED,,BareSoil_X203_Y140,Pickleweed_X201_Y50,,,,,7,31,,,,0,0
205,2,BARE SOIL-PICKLEWEED,,BareSoil_X203_Y140,Pickleweed_X217_Y162,,,,,7,32,,,,0,0
206,2,BARE SOIL-PICKLEWEED,,BareSoil_X203_Y140,Pickleweed_X217_Y163,,,,,7,33,,,,0,0
207,2,BARE SOIL-SHALLOW WATER,,BareSoil_X178_Y152,,ShallowWater_X137_Y49,,,,4,,34,,,0,0
208,2,BARE SOIL-SHALLOW WATER,,BareSoil_X178_Y152,,ShallowWater_X198_Y199,,,,4,,35,,,0,0
209,2,BARE SOIL-SHALLOW WATER,,BareSoil_X178_Y152,,ShallowWater_X200_Y59,,,,4,,36,,,0,0
210,2,BARE SOIL-SHALLOW WATER,,BareSoil_X178_Y152,,ShallowWater_X200_Y60,,,,4,,37,,,0,0
211,2,BARE SOIL-SHALLOW WATER,,BareSoil_X178_Y152,,ShallowWater_X202_Y211,,,,4,,38,,,0,0
212,2,BARE SOIL-SHALLOW WATER,,BareSoil_X178_Y152,,ShallowWater_X203_Y211,,,,4,,39,,,0,0
213,2,BARE SOIL-SHALLOW WATER,,BareSoil_X178_Y153,,ShallowWater_X137_Y49,,,,5,,34,,,0,0
214,2,BARE SOIL-SHALLOW WATER,,BareSoil_X178_Y153,,ShallowWater_X198_Y199,,,,5,,35,,,0,0
215,2,BARE SOIL-SHALLOW WATER,,BareSoil_X178_Y153,,ShallowWater_X200_Y59,,,,5,,36,,,0,0
216,2,BARE SOIL-SHALLOW WATER,,BareSoil_X178_Y153,,ShallowWater_X200_Y60,,,,5,,37,,,0,0
217,2,BARE SOIL-SHALLOW WATER,,BareSoil_X178_Y153,,ShallowWater_X202_Y211,,,,5,,38,,,0,0
218,2,BARE SOIL-SHALLOW WATER,,BareSoil_X178_Y153,,ShallowWater_X203_Y211,,,,5,,39,,,0,0
219,2,BARE SOIL-SHALLOW WATER,,BareSoil_X179_Y153,,ShallowWater_X137_Y49,,,,6,,34,,,0,0
