Model#,#EM,Model,BARE SOIL,GREEN VEG,NPV,BARE SOIL_lib#,GREEN VEG_lib#,NPV_lib#,#pixels,%pixels
53,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.17m.asd                 No-OAR,220420b.20m.asd                 No-OAR,0,22,60,0,0
54,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.17m.asd                 No-OAR,220420b.24m.asd                 No-OAR,0,22,61,0,0
55,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.17m.asd                 No-OAR,220420b.28m.asd                 No-OAR,0,22,62,0,0
56,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.17m.asd                 No-OAR,220420b.28m.asd                 No-OAR,0,22,63,0,0
57,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.17m.asd                 No-OAR,220420c.20m.asd                 No-OAR,0,22,64,0,0
58,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.17m.asd                 No-OAR,Pickleweed_X157_Y148,0,22,65,0,0
59,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.17m.asd                 No-OAR,Pickleweed_X166_Y88,0,22,66,0,0
60,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.17m.asd                 No-OAR,Pickleweed_X175_Y92,0,22,67,0,0
61,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.17m.asd                 No-OAR,Pickleweed_X179_Y140,0,22,68,0,0
62,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.17m.asd                 No-OAR,Pickleweed_X198_Y49,0,22,69,0,0
63,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.17m.asd                 No-OAR,Uplands_X113_Y71,0,22,70,1,    0.000876
64,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420c.17m.asd                 No-OAR,Uplands_X188_Y50,0,22,71,0,0
65,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420d.12m.asd                 No-OAR,220420a.13m.asd                 No-OAR,0,23,56,0,0
66,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420d.12m.asd                 No-OAR,220420a.15m.asd                 No-OAR,0,23,57,0,0
67,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420d.12m.asd                 No-OAR,220420a.16m.asd                 No-OAR,0,23,58,0,0
68,3,BARE SOIL-GREEN VEG-NPV,220420c.22m.asd                 No-OAR,220420d.12m.asd                 No-OAR,220420b.20m.asd                 No-OAR,0,23,59,0,0
