Model#,#EM,Model,BARE SOIL,GREEN VEG,NPV,BARE SOIL_lib#,GREEN VEG_lib#,NPV_lib#,#pixels,%pixels
1443,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X143_Y81,220420a.16m.asd                 No-OAR,3,47,58,0,0
1444,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X143_Y81,220420b.20m.asd                 No-OAR,3,47,59,0,0
1445,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X143_Y81,220420b.20m.asd                 No-OAR,3,47,60,0,0
1446,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X143_Y81,220420b.24m.asd                 No-OAR,3,47,61,0,0
1447,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X143_Y81,220420b.28m.asd                 No-OAR,3,47,62,0,0
1448,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X143_Y81,220420b.28m.asd                 No-OAR,3,47,63,0,0
1449,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X143_Y81,220420c.20m.asd                 No-OAR,3,47,64,0,0
1450,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X143_Y81,Pickleweed_X157_Y148,3,47,65,0,0
1451,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X143_Y81,Pickleweed_X166_Y88,3,47,66,0,0
1452,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X143_Y81,Pickleweed_X175_Y92,3,47,67,0,0
1453,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X143_Y81,Pickleweed_X179_Y140,3,47,68,0,0
1454,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X143_Y81,Pickleweed_X198_Y49,3,47,69,0,0
1455,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X143_Y81,Uplands_X113_Y71,3,47,70,0,0
1456,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X143_Y81,Uplands_X188_Y50,3,47,71,0,0
1457,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X166_Y52,220420a.13m.asd                 No-OAR,3,49,56,0,0
1458,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X166_Y52,220420a.15m.asd                 No-OAR,3,49,57,0,0
1459,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X166_Y52,220420a.16m.asd                 No-OAR,3,49,58,0,0
1460,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X166_Y52,220420b.20m.asd                 No-OAR,3,49,59,0,0
1461,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X166_Y52,220420b.20m.asd                 No-OAR,3,49,60,0,0
1462,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X166_Y52,220420b.24m.asd                 No-OAR,3,49,61,0,0
1463,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X166_Y52,220420b.28m.asd                 No-OAR,3,49,62,0,0
1464,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X166_Y52,220420b.28m.asd                 No-OAR,3,49,63,0,0
1465,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X166_Y52,220420c.20m.asd                 No-OAR,3,49,64,0,0
1466,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X166_Y52,Pickleweed_X157_Y148,3,49,65,0,0
1467,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X166_Y52,Pickleweed_X166_Y88,3,49,66,0,0
1468,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X166_Y52,Pickleweed_X175_Y92,3,49,67,0,0
1469,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X166_Y52,Pickleweed_X179_Y140,3,49,68,0,0
1470,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X166_Y52,Pickleweed_X198_Y49,3,49,69,0,0
1471,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X166_Y52,Uplands_X113_Y71,3,49,70,0,0
1472,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X166_Y52,Uplands_X188_Y50,3,49,71,0,0
1473,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X168_Y121,220420a.13m.asd                 No-OAR,3,51,56,0,0
1474,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X168_Y121,220420a.15m.asd                 No-OAR,3,51,57,0,0
1475,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X168_Y121,220420a.16m.asd                 No-OAR,3,51,58,0,0
1476,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X168_Y121,220420b.20m.asd                 No-OAR,3,51,59,0,0
1477,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X168_Y121,220420b.20m.asd                 No-OAR,3,51,60,0,0
1478,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X168_Y121,220420b.24m.asd                 No-OAR,3,51,61,0,0
1479,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X168_Y121,220420b.28m.asd                 No-OAR,3,51,62,0,0
1480,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X168_Y121,220420b.28m.asd                 No-OAR,3,51,63,0,0
1481,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X168_Y121,220420c.20m.asd                 No-OAR,3,51,64,0,0
1482,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X168_Y121,Pickleweed_X157_Y148,3,51,65,0,0
1483,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X168_Y121,Pickleweed_X166_Y88,3,51,66,0,0
1484,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X168_Y121,Pickleweed_X175_Y92,3,51,67,0,0
1485,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X168_Y121,Pickleweed_X179_Y140,3,51,68,0,0
1486,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X168_Y121,Pickleweed_X198_Y49,3,51,69,0,0
1487,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X168_Y121,Uplands_X113_Y71,3,51,70,14,    0.012266
1488,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X168_Y121,Uplands_X188_Y50,3,51,71,3,    0.002628
1489,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X193_Y45,220420a.13m.asd                 No-OAR,3,53,56,0,0
1490,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X193_Y45,220420a.15m.asd                 No-OAR,3,53,57,0,0
1491,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X193_Y45,220420a.16m.asd                 No-OAR,3,53,58,0,0
1492,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X193_Y45,220420b.20m.asd                 No-OAR,3,53,59,0,0
1493,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X193_Y45,220420b.20m.asd                 No-OAR,3,53,60,0,0
1494,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X193_Y45,220420b.24m.asd                 No-OAR,3,53,61,0,0
1495,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X193_Y45,220420b.28m.asd                 No-OAR,3,53,62,0,0
1496,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X193_Y45,220420b.28m.asd                 No-OAR,3,53,63,0,0
1497,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X193_Y45,220420c.20m.asd                 No-OAR,3,53,64,0,0
1498,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X193_Y45,Pickleweed_X157_Y148,3,53,65,0,0
1499,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X193_Y45,Pickleweed_X166_Y88,3,53,66,0,0
1500,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X193_Y45,Pickleweed_X175_Y92,3,53,67,0,0
1501,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X193_Y45,Pickleweed_X179_Y140,3,53,68,0,0
1502,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X193_Y45,Pickleweed_X198_Y49,3,53,69,0,0
1503,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X193_Y45,Uplands_X113_Y71,3,53,70,2,    0.001752
1504,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X193_Y45,Uplands_X188_Y50,3,53,71,4,    0.003505
1505,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X197_Y46,220420a.13m.asd                 No-OAR,3,54,56,0,0
1506,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X197_Y46,220420a.15m.asd                 No-OAR,3,54,57,0,0
1507,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X197_Y46,220420a.16m.asd                 No-OAR,3,54,58,0,0
1508,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X197_Y46,220420b.20m.asd                 No-OAR,3,54,59,0,0
1509,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X197_Y46,220420b.20m.asd                 No-OAR,3,54,60,0,0
1510,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X197_Y46,220420b.24m.asd                 No-OAR,3,54,61,0,0
1511,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X197_Y46,220420b.28m.asd                 No-OAR,3,54,62,0,0
1512,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X197_Y46,220420b.28m.asd                 No-OAR,3,54,63,0,0
1513,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X197_Y46,220420c.20m.asd                 No-OAR,3,54,64,0,0
1514,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X197_Y46,Pickleweed_X157_Y148,3,54,65,0,0
1515,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X197_Y46,Pickleweed_X166_Y88,3,54,66,0,0
1516,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X197_Y46,Pickleweed_X175_Y92,3,54,67,0,0
1517,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X197_Y46,Pickleweed_X179_Y140,3,54,68,0,0
1518,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X197_Y46,Pickleweed_X198_Y49,3,54,69,0,0
1519,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X197_Y46,Uplands_X113_Y71,3,54,70,8,    0.007009
1520,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X197_Y46,Uplands_X188_Y50,3,54,71,1,    0.000876
1521,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X237_Y70,220420a.13m.asd                 No-OAR,3,55,56,0,0
1522,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X237_Y70,220420a.15m.asd                 No-OAR,3,55,57,0,0
1523,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X237_Y70,220420a.16m.asd                 No-OAR,3,55,58,0,0
1524,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X237_Y70,220420b.20m.asd                 No-OAR,3,55,59,0,0
1525,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X237_Y70,220420b.20m.asd                 No-OAR,3,55,60,0,0
1526,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X237_Y70,220420b.24m.asd                 No-OAR,3,55,61,0,0
1527,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X237_Y70,220420b.28m.asd                 No-OAR,3,55,62,0,0
1528,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X237_Y70,220420b.28m.asd                 No-OAR,3,55,63,0,0
1529,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X237_Y70,220420c.20m.asd                 No-OAR,3,55,64,0,0
1530,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X237_Y70,Pickleweed_X157_Y148,3,55,65,0,0
1531,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X237_Y70,Pickleweed_X166_Y88,3,55,66,0,0
1532,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X237_Y70,Pickleweed_X175_Y92,3,55,67,0,0
1533,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X237_Y70,Pickleweed_X179_Y140,3,55,68,0,0
1534,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X237_Y70,Pickleweed_X198_Y49,3,55,69,0,0
1535,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X237_Y70,Uplands_X113_Y71,3,55,70,0,0
1536,3,BARE SOIL-GREEN VEG-NPV,220420c.28m.asd                 No-OAR,Uplands_X237_Y70,Uplands_X188_Y50,3,55,71,0,0
1537,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420b.0m.asd                 No-OAR,220420a.13m.asd                 No-OAR,4,19,56,0,0
1538,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420b.0m.asd                 No-OAR,220420a.15m.asd                 No-OAR,4,19,57,0,0
1539,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420b.0m.asd                 No-OAR,220420a.16m.asd                 No-OAR,4,19,58,0,0
1540,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420b.0m.asd                 No-OAR,220420b.20m.asd                 No-OAR,4,19,59,0,0
1541,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420b.0m.asd                 No-OAR,220420b.20m.asd                 No-OAR,4,19,60,0,0
1542,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420b.0m.asd                 No-OAR,220420b.24m.asd                 No-OAR,4,19,61,0,0
1543,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420b.0m.asd                 No-OAR,220420b.28m.asd                 No-OAR,4,19,62,0,0
1544,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420b.0m.asd                 No-OAR,220420b.28m.asd                 No-OAR,4,19,63,0,0
1545,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420b.0m.asd                 No-OAR,220420c.20m.asd                 No-OAR,4,19,64,0,0
1546,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420b.0m.asd                 No-OAR,Pickleweed_X157_Y148,4,19,65,0,0
1547,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420b.0m.asd                 No-OAR,Pickleweed_X166_Y88,4,19,66,2,    0.001752
1548,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420b.0m.asd                 No-OAR,Pickleweed_X175_Y92,4,19,67,0,0
1549,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420b.0m.asd                 No-OAR,Pickleweed_X179_Y140,4,19,68,0,0
1550,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420b.0m.asd                 No-OAR,Pickleweed_X198_Y49,4,19,69,0,0
1551,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420b.0m.asd                 No-OAR,Uplands_X113_Y71,4,19,70,1,    0.000876
1552,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420b.0m.asd                 No-OAR,Uplands_X188_Y50,4,19,71,0,0
1553,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.13m.asd                 No-OAR,220420a.13m.asd                 No-OAR,4,20,56,0,0
1554,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.13m.asd                 No-OAR,220420a.15m.asd                 No-OAR,4,20,57,0,0
1555,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.13m.asd                 No-OAR,220420a.16m.asd                 No-OAR,4,20,58,0,0
1556,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.13m.asd                 No-OAR,220420b.20m.asd                 No-OAR,4,20,59,0,0
1557,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.13m.asd                 No-OAR,220420b.20m.asd                 No-OAR,4,20,60,0,0
1558,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.13m.asd                 No-OAR,220420b.24m.asd                 No-OAR,4,20,61,0,0
1559,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.13m.asd                 No-OAR,220420b.28m.asd                 No-OAR,4,20,62,0,0
1560,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.13m.asd                 No-OAR,220420b.28m.asd                 No-OAR,4,20,63,0,0
1561,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.13m.asd                 No-OAR,220420c.20m.asd                 No-OAR,4,20,64,0,0
1562,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.13m.asd                 No-OAR,Pickleweed_X157_Y148,4,20,65,0,0
1563,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.13m.asd                 No-OAR,Pickleweed_X166_Y88,4,20,66,5,    0.004381
1564,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.13m.asd                 No-OAR,Pickleweed_X175_Y92,4,20,67,0,0
1565,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.13m.asd                 No-OAR,Pickleweed_X179_Y140,4,20,68,0,0
1566,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.13m.asd                 No-OAR,Pickleweed_X198_Y49,4,20,69,0,0
1567,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.13m.asd                 No-OAR,Uplands_X113_Y71,4,20,70,1,    0.000876
1568,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.13m.asd                 No-OAR,Uplands_X188_Y50,4,20,71,2,    0.001752
1569,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.16m.asd                 No-OAR,220420a.13m.asd                 No-OAR,4,21,56,0,0
1570,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.16m.asd                 No-OAR,220420a.15m.asd                 No-OAR,4,21,57,0,0
1571,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.16m.asd                 No-OAR,220420a.16m.asd                 No-OAR,4,21,58,0,0
1572,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.16m.asd                 No-OAR,220420b.20m.asd                 No-OAR,4,21,59,0,0
1573,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.16m.asd                 No-OAR,220420b.20m.asd                 No-OAR,4,21,60,0,0
1574,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.16m.asd                 No-OAR,220420b.24m.asd                 No-OAR,4,21,61,0,0
1575,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.16m.asd                 No-OAR,220420b.28m.asd                 No-OAR,4,21,62,0,0
1576,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.16m.asd                 No-OAR,220420b.28m.asd                 No-OAR,4,21,63,0,0
1577,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.16m.asd                 No-OAR,220420c.20m.asd                 No-OAR,4,21,64,0,0
1578,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.16m.asd                 No-OAR,Pickleweed_X157_Y148,4,21,65,0,0
1579,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.16m.asd                 No-OAR,Pickleweed_X166_Y88,4,21,66,2,    0.001752
1580,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.16m.asd                 No-OAR,Pickleweed_X175_Y92,4,21,67,0,0
1581,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.16m.asd                 No-OAR,Pickleweed_X179_Y140,4,21,68,0,0
1582,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.16m.asd                 No-OAR,Pickleweed_X198_Y49,4,21,69,0,0
1583,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.16m.asd                 No-OAR,Uplands_X113_Y71,4,21,70,3,    0.002628
1584,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.16m.asd                 No-OAR,Uplands_X188_Y50,4,21,71,0,0
1585,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.17m.asd                 No-OAR,220420a.13m.asd                 No-OAR,4,22,56,0,0
1586,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.17m.asd                 No-OAR,220420a.15m.asd                 No-OAR,4,22,57,0,0
1587,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.17m.asd                 No-OAR,220420a.16m.asd                 No-OAR,4,22,58,0,0
1588,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.17m.asd                 No-OAR,220420b.20m.asd                 No-OAR,4,22,59,0,0
1589,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.17m.asd                 No-OAR,220420b.20m.asd                 No-OAR,4,22,60,0,0
1590,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.17m.asd                 No-OAR,220420b.24m.asd                 No-OAR,4,22,61,0,0
1591,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.17m.asd                 No-OAR,220420b.28m.asd                 No-OAR,4,22,62,0,0
1592,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.17m.asd                 No-OAR,220420b.28m.asd                 No-OAR,4,22,63,0,0
1593,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.17m.asd                 No-OAR,220420c.20m.asd                 No-OAR,4,22,64,0,0
1594,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.17m.asd                 No-OAR,Pickleweed_X157_Y148,4,22,65,0,0
1595,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.17m.asd                 No-OAR,Pickleweed_X166_Y88,4,22,66,0,0
1596,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.17m.asd                 No-OAR,Pickleweed_X175_Y92,4,22,67,0,0
1597,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.17m.asd                 No-OAR,Pickleweed_X179_Y140,4,22,68,0,0
1598,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.17m.asd                 No-OAR,Pickleweed_X198_Y49,4,22,69,0,0
1599,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.17m.asd                 No-OAR,Uplands_X113_Y71,4,22,70,0,0
1600,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420c.17m.asd                 No-OAR,Uplands_X188_Y50,4,22,71,0,0
1601,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420d.12m.asd                 No-OAR,220420a.13m.asd                 No-OAR,4,23,56,0,0
1602,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420d.12m.asd                 No-OAR,220420a.15m.asd                 No-OAR,4,23,57,0,0
1603,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420d.12m.asd                 No-OAR,220420a.16m.asd                 No-OAR,4,23,58,0,0
1604,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420d.12m.asd                 No-OAR,220420b.20m.asd                 No-OAR,4,23,59,0,0
1605,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420d.12m.asd                 No-OAR,220420b.20m.asd                 No-OAR,4,23,60,0,0
1606,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420d.12m.asd                 No-OAR,220420b.24m.asd                 No-OAR,4,23,61,0,0
1607,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420d.12m.asd                 No-OAR,220420b.28m.asd                 No-OAR,4,23,62,0,0
1608,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420d.12m.asd                 No-OAR,220420b.28m.asd                 No-OAR,4,23,63,0,0
1609,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420d.12m.asd                 No-OAR,220420c.20m.asd                 No-OAR,4,23,64,0,0
1610,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420d.12m.asd                 No-OAR,Pickleweed_X157_Y148,4,23,65,0,0
1611,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420d.12m.asd                 No-OAR,Pickleweed_X166_Y88,4,23,66,5,    0.004381
1612,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420d.12m.asd                 No-OAR,Pickleweed_X175_Y92,4,23,67,0,0
1613,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420d.12m.asd                 No-OAR,Pickleweed_X179_Y140,4,23,68,0,0
1614,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420d.12m.asd                 No-OAR,Pickleweed_X198_Y49,4,23,69,0,0
1615,3,BARE SOIL-GREEN VEG-NPV,BareSoil_X171_Y181,220420d.12m.asd                 No-OAR,Uplands_X113_Y71,4,23,70,6,    0.005257
