Model#,#EM,Model,ALGAE/WATER,BARE SOIL,PICKLEWEED,SHALLOW WATER,UPLANDS,WATER,ALGAE/WATER_lib#,BARE SOIL_lib#,PICKLEWEED_lib#,SHALLOW WATER_lib#,UPLANDS_lib#,WATER_lib#,#pixels,%pixels
110,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y152,220302b.24m.asd                 No-OAR,,,,,5,21,,,,0,0
111,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y152,220302b.20m.asd                 No-OAR,,,,,5,22,,,,0,0
112,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y152,Pickleweed_X177_Y93,,,,,5,23,,,,0,0
113,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y152,Pickleweed_X201_Y50,,,,,5,24,,,,0,0
114,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y152,220302b.26m.asd                 No-OAR,,,,,5,25,,,,0,0
115,2,BARE SOIL-PICKLEWEED,,BareSoil_X203_Y140,220302b.24m.asd                 No-OAR,,,,,6,21,,,,0,0
116,2,BARE SOIL-PICKLEWEED,,BareSoil_X203_Y140,220302b.20m.asd                 No-OAR,,,,,6,22,,,,0,0
117,2,BARE SOIL-PICKLEWEED,,BareSoil_X203_Y140,Pickleweed_X177_Y93,,,,,6,23,,,,0,0
118,2,BARE SOIL-PICKLEWEED,,BareSoil_X203_Y140,Pickleweed_X201_Y50,,,,,6,24,,,,0,0
119,2,BARE SOIL-PICKLEWEED,,BareSoil_X203_Y140,220302b.26m.asd                 No-OAR,,,,,6,25,,,,0,0
120,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y153,220302b.24m.asd                 No-OAR,,,,,7,21,,,,0,0
121,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y153,220302b.20m.asd                 No-OAR,,,,,7,22,,,,0,0
122,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y153,Pickleweed_X177_Y93,,,,,7,23,,,,0,0
123,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y153,Pickleweed_X201_Y50,,,,,7,24,,,,0,0
124,2,BARE SOIL-PICKLEWEED,,BareSoil_X178_Y153,220302b.26m.asd                 No-OAR,,,,,7,25,,,,0,0
125,2,BARE SOIL-SHALLOW WATER,,BareSoil_X179_Y153,,ShallowWater_X203_Y211,,,,4,,26,,,0,0
126,2,BARE SOIL-SHALLOW WATER,,BareSoil_X179_Y153,,ShallowWater_X202_Y211,,,,4,,27,,,0,0
127,2,BARE SOIL-SHALLOW WATER,,BareSoil_X179_Y153,,ShallowWater_X200_Y59,,,,4,,28,,,0,0
128,2,BARE SOIL-SHALLOW WATER,,BareSoil_X179_Y153,,ShallowWater_X200_Y60,,,,4,,29,,,0,0
129,2,BARE SOIL-SHALLOW WATER,,BareSoil_X178_Y152,,ShallowWater_X203_Y211,,,,5,,26,,,0,0
130,2,BARE SOIL-SHALLOW WATER,,BareSoil_X178_Y152,,ShallowWater_X202_Y211,,,,5,,27,,,0,0
131,2,BARE SOIL-SHALLOW WATER,,BareSoil_X178_Y152,,ShallowWater_X200_Y59,,,,5,,28,,,0,0
132,2,BARE SOIL-SHALLOW WATER,,BareSoil_X178_Y152,,ShallowWater_X200_Y60,,,,5,,29,,,0,0
133,2,BARE SOIL-SHALLOW WATER,,BareSoil_X203_Y140,,ShallowWater_X203_Y211,,,,6,,26,,,0,0
134,2,BARE SOIL-SHALLOW WATER,,BareSoil_X203_Y140,,ShallowWater_X202_Y211,,,,6,,27,,,0,0
135,2,BARE SOIL-SHALLOW WATER,,BareSoil_X203_Y140,,ShallowWater_X200_Y59,,,,6,,28,,,0,0
136,2,BARE SOIL-SHALLOW WATER,,BareSoil_X203_Y140,,ShallowWater_X200_Y60,,,,6,,29,,,0,0
137,2,BARE SOIL-SHALLOW WATER,,BareSoil_X178_Y153,,ShallowWater_X203_Y211,,,,7,,26,,,0,0
138,2,BARE SOIL-SHALLOW WATER,,BareSoil_X178_Y153,,ShallowWater_X202_Y211,,,,7,,27,,,0,0
139,2,BARE SOIL-SHALLOW WATER,,BareSoil_X178_Y153,,ShallowWater_X200_Y59,,,,7,,28,,,0,0
140,2,BARE SOIL-SHALLOW WATER,,BareSoil_X178_Y153,,ShallowWater_X200_Y60,,,,7,,29,,,0,0
141,2,BARE SOIL-UPLANDS,,BareSoil_X179_Y153,,,Uplands_X143_Y104,,,4,,,33,,0,0
142,2,BARE SOIL-UPLANDS,,BareSoil_X179_Y153,,,Uplands_X232_Y23,,,4,,,34,,0,0
143,2,BARE SOIL-UPLANDS,,BareSoil_X179_Y153,,,Uplands_X233_Y22,,,4,,,35,,0,0
144,2,BARE SOIL-UPLANDS,,BareSoil_X178_Y152,,,Uplands_X143_Y104,,,5,,,33,,0,0
145,2,BARE SOIL-UPLANDS,,BareSoil_X178_Y152,,,Uplands_X232_Y23,,,5,,,34,,0,0
146,2,BARE SOIL-UPLANDS,,BareSoil_X178_Y152,,,Uplands_X233_Y22,,,5,,,35,,0,0
147,2,BARE SOIL-UPLANDS,,BareSoil_X203_Y140,,,Uplands_X143_Y104,,,6,,,33,,0,0
148,2,BARE SOIL-UPLANDS,,BareSoil_X203_Y140,,,Uplands_X232_Y23,,,6,,,34,,0,0
149,2,BARE SOIL-UPLANDS,,BareSoil_X203_Y140,,,Uplands_X233_Y22,,,6,,,35,,0,0
150,2,BARE SOIL-UPLANDS,,BareSoil_X178_Y153,,,Uplands_X143_Y104,,,7,,,33,,0,0
151,2,BARE SOIL-UPLANDS,,BareSoil_X178_Y153,,,Uplands_X232_Y23,,,7,,,34,,0,0
152,2,BARE SOIL-UPLANDS,,BareSoil_X178_Y153,,,Uplands_X233_Y22,,,7,,,35,,0,0
153,2,BARE SOIL-WATER,,BareSoil_X179_Y153,,,,Water_X199_Y103,,4,,,,36,0,0
154,2,BARE SOIL-WATER,,BareSoil_X179_Y153,,,,Water_X210_Y122,,4,,,,37,0,0
155,2,BARE SOIL-WATER,,BareSoil_X179_Y153,,,,Water_X198_Y103,,4,,,,38,0,0
156,2,BARE SOIL-WATER,,BareSoil_X179_Y153,,,,Water_X174_Y193,,4,,,,39,0,0
157,2,BARE SOIL-WATER,,BareSoil_X178_Y152,,,,Water_X199_Y103,,5,,,,36,0,0
158,2,BARE SOIL-WATER,,BareSoil_X178_Y152,,,,Water_X210_Y122,,5,,,,37,0,0
159,2,BARE SOIL-WATER,,BareSoil_X178_Y152,,,,Water_X198_Y103,,5,,,,38,0,0
160,2,BARE SOIL-WATER,,BareSoil_X178_Y152,,,,Water_X174_Y193,,5,,,,39,0,0
161,2,BARE SOIL-WATER,,BareSoil_X203_Y140,,,,Water_X199_Y103,,6,,,,36,0,0
162,2,BARE SOIL-WATER,,BareSoil_X203_Y140,,,,Water_X210_Y122,,6,,,,37,0,0
163,2,BARE SOIL-WATER,,BareSoil_X203_Y140,,,,Water_X198_Y103,,6,,,,38,0,0
164,2,BARE SOIL-WATER,,BareSoil_X203_Y140,,,,Water_X174_Y193,,6,,,,39,0,0
165,2,BARE SOIL-WATER,,BareSoil_X178_Y153,,,,Water_X199_Y103,,7,,,,36,0,0
166,2,BARE SOIL-WATER,,BareSoil_X178_Y153,,,,Water_X210_Y122,,7,,,,37,0,0
167,2,BARE SOIL-WATER,,BareSoil_X178_Y153,,,,Water_X198_Y103,,7,,,,38,0,0
168,2,BARE SOIL-WATER,,BareSoil_X178_Y153,,,,Water_X174_Y193,,7,,,,39,0,0
169,2,PICKLEWEED-SHALLOW WATER,,,220302b.24m.asd                 No-OAR,ShallowWater_X203_Y211,,,,,21,26,,,0,0
170,2,PICKLEWEED-SHALLOW WATER,,,220302b.24m.asd                 No-OAR,ShallowWater_X202_Y211,,,,,21,27,,,0,0
171,2,PICKLEWEED-SHALLOW WATER,,,220302b.24m.asd                 No-OAR,ShallowWater_X200_Y59,,,,,21,28,,,0,0
172,2,PICKLEWEED-SHALLOW WATER,,,220302b.24m.asd                 No-OAR,ShallowWater_X200_Y60,,,,,21,29,,,0,0
173,2,PICKLEWEED-SHALLOW WATER,,,220302b.20m.asd                 No-OAR,ShallowWater_X203_Y211,,,,,22,26,,,0,0
174,2,PICKLEWEED-SHALLOW WATER,,,220302b.20m.asd                 No-OAR,ShallowWater_X202_Y211,,,,,22,27,,,0,0
175,2,PICKLEWEED-SHALLOW WATER,,,220302b.20m.asd                 No-OAR,ShallowWater_X200_Y59,,,,,22,28,,,0,0
176,2,PICKLEWEED-SHALLOW WATER,,,220302b.20m.asd                 No-OAR,ShallowWater_X200_Y60,,,,,22,29,,,0,0
177,2,PICKLEWEED-SHALLOW WATER,,,Pickleweed_X177_Y93,ShallowWater_X203_Y211,,,,,23,26,,,0,0
178,2,PICKLEWEED-SHALLOW WATER,,,Pickleweed_X177_Y93,ShallowWater_X202_Y211,,,,,23,27,,,0,0
179,2,PICKLEWEED-SHALLOW WATER,,,Pickleweed_X177_Y93,ShallowWater_X200_Y59,,,,,23,28,,,0,0
180,2,PICKLEWEED-SHALLOW WATER,,,Pickleweed_X177_Y93,ShallowWater_X200_Y60,,,,,23,29,,,0,0
181,2,PICKLEWEED-SHALLOW WATER,,,Pickleweed_X201_Y50,ShallowWater_X203_Y211,,,,,24,26,,,0,0
182,2,PICKLEWEED-SHALLOW WATER,,,Pickleweed_X201_Y50,ShallowWater_X202_Y211,,,,,24,27,,,0,0
183,2,PICKLEWEED-SHALLOW WATER,,,Pickleweed_X201_Y50,ShallowWater_X200_Y59,,,,,24,28,,,0,0
184,2,PICKLEWEED-SHALLOW WATER,,,Pickleweed_X201_Y50,ShallowWater_X200_Y60,,,,,24,29,,,0,0
185,2,PICKLEWEED-SHALLOW WATER,,,220302b.26m.asd                 No-OAR,ShallowWater_X203_Y211,,,,,25,26,,,0,0
186,2,PICKLEWEED-SHALLOW WATER,,,220302b.26m.asd                 No-OAR,ShallowWater_X202_Y211,,,,,25,27,,,0,0
187,2,PICKLEWEED-SHALLOW WATER,,,220302b.26m.asd                 No-OAR,ShallowWater_X200_Y59,,,,,25,28,,,0,0
188,2,PICKLEWEED-SHALLOW WATER,,,220302b.26m.asd                 No-OAR,ShallowWater_X200_Y60,,,,,25,29,,,0,0
189,2,PICKLEWEED-UPLANDS,,,220302b.24m.asd                 No-OAR,,Uplands_X143_Y104,,,,21,,33,,0,0
190,2,PICKLEWEED-UPLANDS,,,220302b.24m.asd                 No-OAR,,Uplands_X232_Y23,,,,21,,34,,0,0
191,2,PICKLEWEED-UPLANDS,,,220302b.24m.asd                 No-OAR,,Uplands_X233_Y22,,,,21,,35,,0,0
192,2,PICKLEWEED-UPLANDS,,,220302b.20m.asd                 No-OAR,,Uplands_X143_Y104,,,,22,,33,,0,0
193,2,PICKLEWEED-UPLANDS,,,220302b.20m.asd                 No-OAR,,Uplands_X232_Y23,,,,22,,34,,0,0
194,2,PICKLEWEED-UPLANDS,,,220302b.20m.asd                 No-OAR,,Uplands_X233_Y22,,,,22,,35,,0,0
195,2,PICKLEWEED-UPLANDS,,,Pickleweed_X177_Y93,,Uplands_X143_Y104,,,,23,,33,,0,0
196,2,PICKLEWEED-UPLANDS,,,Pickleweed_X177_Y93,,Uplands_X232_Y23,,,,23,,34,,0,0
197,2,PICKLEWEED-UPLANDS,,,Pickleweed_X177_Y93,,Uplands_X233_Y22,,,,23,,35,,0,0
198,2,PICKLEWEED-UPLANDS,,,Pickleweed_X201_Y50,,Uplands_X143_Y104,,,,24,,33,,0,0
199,2,PICKLEWEED-UPLANDS,,,Pickleweed_X201_Y50,,Uplands_X232_Y23,,,,24,,34,,0,0
200,2,PICKLEWEED-UPLANDS,,,Pickleweed_X201_Y50,,Uplands_X233_Y22,,,,24,,35,,0,0
201,2,PICKLEWEED-UPLANDS,,,220302b.26m.asd                 No-OAR,,Uplands_X143_Y104,,,,25,,33,,0,0
202,2,PICKLEWEED-UPLANDS,,,220302b.26m.asd                 No-OAR,,Uplands_X232_Y23,,,,25,,34,,0,0
203,2,PICKLEWEED-UPLANDS,,,220302b.26m.asd                 No-OAR,,Uplands_X233_Y22,,,,25,,35,,0,0
204,2,PICKLEWEED-WATER,,,220302b.24m.asd                 No-OAR,,,Water_X199_Y103,,,21,,,36,0,0
205,2,PICKLEWEED-WATER,,,220302b.24m.asd                 No-OAR,,,Water_X210_Y122,,,21,,,37,0,0
206,2,PICKLEWEED-WATER,,,220302b.24m.asd                 No-OAR,,,Water_X198_Y103,,,21,,,38,0,0
207,2,PICKLEWEED-WATER,,,220302b.24m.asd                 No-OAR,,,Water_X174_Y193,,,21,,,39,0,0
208,2,PICKLEWEED-WATER,,,220302b.20m.asd                 No-OAR,,,Water_X199_Y103,,,22,,,36,0,0
209,2,PICKLEWEED-WATER,,,220302b.20m.asd                 No-OAR,,,Water_X210_Y122,,,22,,,37,0,0
210,2,PICKLEWEED-WATER,,,220302b.20m.asd                 No-OAR,,,Water_X198_Y103,,,22,,,38,0,0
211,2,PICKLEWEED-WATER,,,220302b.20m.asd                 No-OAR,,,Water_X174_Y193,,,22,,,39,0,0
212,2,PICKLEWEED-WATER,,,Pickleweed_X177_Y93,,,Water_X199_Y103,,,23,,,36,0,0
213,2,PICKLEWEED-WATER,,,Pickleweed_X177_Y93,,,Water_X210_Y122,,,23,,,37,0,0
214,2,PICKLEWEED-WATER,,,Pickleweed_X177_Y93,,,Water_X198_Y103,,,23,,,38,0,0
215,2,PICKLEWEED-WATER,,,Pickleweed_X177_Y93,,,Water_X174_Y193,,,23,,,39,0,0
216,2,PICKLEWEED-WATER,,,Pickleweed_X201_Y50,,,Water_X199_Y103,,,24,,,36,0,0
217,2,PICKLEWEED-WATER,,,Pickleweed_X201_Y50,,,Water_X210_Y122,,,24,,,37,0,0
218,2,PICKLEWEED-WATER,,,Pickleweed_X201_Y50,,,Water_X198_Y103,,,24,,,38,0,0
219,2,PICKLEWEED-WATER,,,Pickleweed_X201_Y50,,,Water_X174_Y193,,,24,,,39,0,0
220,2,PICKLEWEED-WATER,,,220302b.26m.asd                 No-OAR,,,Water_X199_Y103,,,25,,,36,0,0
