Output of VIPER 2 Tools EAR/MASA/COB routine: Wed Jan 31 14:13:57 2024

Name:,Spectrum name
Group:, Attribute in grouping field
EAR:, Within group Endmember Average Root Mean Squared Error
MASA:, Within group Average Spectral Angle
InCoB:, Within group count of spectra modeled
OutCoB:, Outside of group count of spectra modeled
CoBI:, CoB Index calculated as: InCoB/OutCoB/number of spectra in group

Name,Group,EAR,MASA,InCoB,OutCoB,CoBI
220420a.29m.asd                 No-OAR, MIXED,   2.99927e-06,      0.149362,            0,            0,       0.00000
220420c.3m.asd                 No-OAR, MIXED,   2.56023e-06,      0.140415,            0,            0,       0.00000
220420a.12m.asd                 No-OAR, MIXED,   2.83808e-06,      0.143909,            0,            0,       0.00000
220420a.10m.asd                 No-OAR, MIXED,   2.49972e-06,      0.129423,            0,            0,       0.00000
220420c.5m.asd                 No-OAR, MIXED,   2.51375e-06,      0.131257,            0,            0,       0.00000
220420a.14m.asd                 No-OAR, NPV,   2.72604e-06,      0.142726,            0,            0,       0.00000
220420a.25m.asd                 No-OAR, NPV,   2.72719e-06,      0.142933,            0,            0,       0.00000
220420c.19m.asd                 No-OAR, MIXED,   2.70342e-06,      0.148478,            0,            0,       0.00000
220420a.26m.asd                 No-OAR, NPV,   2.48032e-06,      0.130222,            0,            0,       0.00000
220420c.2m.asd                 No-OAR, GREEN VEG,   2.82455e-06,      0.206052,            0,            0,       0.00000
220420c.11m.asd                 No-OAR, NPV,   3.14079e-06,      0.171906,            0,            0,       0.00000
220420a.0m.asd                 No-OAR, MIXED,   2.58439e-06,      0.134330,            0,            0,       0.00000
220420a.27m.asd                 No-OAR, BARE SOIL,   5.62812e-06,      0.211944,            0,            0,       0.00000
220420b.3m.asd                 No-OAR, MIXED,   3.11023e-06,      0.174732,            0,            0,       0.00000
220420a.32m.asd                 No-OAR  , BARE SOIL,   4.68365e-06,      0.182531,            0,            0,       0.00000
220420b.24m.asd                 No-OAR, NPV,   2.23390e-06,      0.120877,            0,            0,       0.00000
220420b.20m.asd                 No-OAR, NPV,   2.15218e-06,      0.114330,            0,            0,       0.00000
220420a.15m.asd                 No-OAR, NPV,   2.37793e-06,      0.128198,            0,            0,       0.00000
220420a.16m.asd                 No-OAR, NPV,   2.36152e-06,      0.129403,            0,            0,       0.00000
220420c.29m.asd                 No-OAR, BARE SOIL,   4.19286e-06,      0.163023,            0,            0,       0.00000
220420c.1m.asd                 No-OAR, MIXED,   2.68561e-06,      0.149962,            0,            0,       0.00000
220420c.32m.asd                 No-OAR  , BARE SOIL,   3.28436e-06,      0.140105,            0,            0,       0.00000
220420b.22m.asd                 No-OAR, NPV,   2.41123e-06,      0.133240,            0,            0,       0.00000
220420b.0m.asd                 No-OAR, GREEN VEG,   2.99299e-06,      0.214890,           59,           59,     0.0166667
220420b.19m.asd                 No-OAR, MIXED,   2.94411e-06,      0.166934,            0,            0,       0.00000
220420a.30m.asd                 No-OAR, MIXED,   2.78222e-06,      0.154951,            0,            0,       0.00000
220420c.12m.asd                 No-OAR, NPV,   3.25649e-06,      0.179829,            0,            0,       0.00000
220420b.23m.asd                 No-OAR, NPV,   2.45100e-06,      0.134853,            0,            0,       0.00000
220420c.20m.asd                 No-OAR, NPV,   2.57451e-06,      0.143028,           22,           97,    0.00986105
220420c.23m.asd                 No-OAR, MIXED,   3.62566e-06,      0.206587,            0,            0,       0.00000
220420b.27m.asd                 No-OAR, BARE SOIL,   3.88231e-06,      0.162133,            0,            0,       0.00000
220420c.24m.asd                 No-OAR, MIXED,   3.05914e-06,      0.175789,            0,            0,       0.00000
220420b.26m.asd                 No-OAR, MIXED,   3.24370e-06,      0.182388,            0,            0,       0.00000
220420c.28m.asd                 No-OAR, BARE SOIL,   2.99167e-06,      0.135512,            0,            0,       0.00000
220420c.0m.asd                 No-OAR, MIXED,   3.91640e-06,      0.225547,           31,           94,     0.0103059
220420a.9m.asd                 No-OAR, MIXED,   4.18150e-06,      0.234493,            0,            0,       0.00000
220420c.25m.asd                 No-OAR, BARE SOIL,   3.02787e-06,      0.137638,            0,            0,       0.00000
220420c.21m.asd                 No-OAR, BARE SOIL,   4.34948e-06,      0.196239,            0,            0,       0.00000
220420c.27m.asd                 No-OAR, BARE SOIL,   3.06285e-06,      0.138517,            0,            0,       0.00000
220420c.26m.asd                 No-OAR, BARE SOIL,   3.14027e-06,      0.144778,            0,            0,       0.00000
220420b.30m.asd                 No-OAR, BARE SOIL,   3.44895e-06,      0.150171,            0,            0,       0.00000
220420c.22m.asd                 No-OAR, BARE SOIL,   3.99935e-06,      0.180963,           16,          115,    0.00818414
