Output of VIPER 2 Tools EAR/MASA/COB routine: Mon Aug 28 15:08:59 2023

Name:,Spectrum name
Group:, Attribute in grouping field
EAR:, Within group Endmember Average Root Mean Squared Error
MASA:, Within group Average Spectral Angle
InCoB:, Within group count of spectra modeled
OutCoB:, Outside of group count of spectra modeled
CoBI:, CoB Index calculated as: InCoB/OutCoB/number of spectra in group

Name,Group,EAR,MASA,InCoB,OutCoB,CoBI
220302b.22m.asd                 No-OAR, PICKLEWEED,   3.67295e-06,      0.198072,            0,            0,       0.00000
220302b.23m.asd                 No-OAR, PICKLEWEED,   3.83672e-06,      0.208790,            0,            0,       0.00000
220302b.24m.asd                 No-OAR, PICKLEWEED,   3.64321e-06,      0.196092,            0,            0,       0.00000
220302b.26m.asd                 No-OAR, PICKLEWEED,   3.64947e-06,      0.196834,            0,            0,       0.00000
220302b.8m.asd                 No-OAR, PICKLEWEED,   3.99034e-06,      0.218064,            0,            0,       0.00000
220302b.9m.asd                 No-OAR, PICKLEWEED,   3.70715e-06,      0.200219,            0,            0,       0.00000
Pickleweed_X174_Y253, PICKLEWEED,   5.44128e-06,      0.323042,            0,            0,       0.00000
Pickleweed_X175_Y253, PICKLEWEED,   5.57209e-06,      0.335141,            0,            0,       0.00000
Pickleweed_X175_Y92, PICKLEWEED,   5.91772e-06,      0.365739,            0,            0,       0.00000
Pickleweed_X176_Y252, PICKLEWEED,   7.61989e-06,      0.472902,            0,            0,       0.00000
Pickleweed_X176_Y92, PICKLEWEED,   5.72445e-06,      0.352564,            0,            0,       0.00000
Pickleweed_X176_Y93, PICKLEWEED,   6.11238e-06,      0.377982,            0,            0,       0.00000
Pickleweed_X177_Y251, PICKLEWEED,   7.88759e-06,      0.491359,            0,            0,       0.00000
Pickleweed_X177_Y93, PICKLEWEED,   5.54465e-06,      0.338929,           78,           88,     0.0112198
Pickleweed_X178_Y250, PICKLEWEED,   7.57527e-06,      0.467369,            0,            0,       0.00000
Pickleweed_X178_Y251, PICKLEWEED,   7.64372e-06,      0.471840,            0,            0,       0.00000
Pickleweed_X178_Y93, PICKLEWEED,   5.94652e-06,      0.366950,            0,            0,       0.00000
Pickleweed_X178_Y94, PICKLEWEED,   5.76196e-06,      0.353709,            0,            0,       0.00000
Pickleweed_X179_Y94, PICKLEWEED,   5.74676e-06,      0.354120,            0,            0,       0.00000
Pickleweed_X180_Y94, PICKLEWEED,   9.89732e-06,      0.629970,            0,            0,       0.00000
Pickleweed_X195_Y52, PICKLEWEED,   5.99177e-06,      0.362098,            0,            0,       0.00000
Pickleweed_X196_Y51, PICKLEWEED,   7.08042e-06,      0.435697,            0,            0,       0.00000
Pickleweed_X196_Y52, PICKLEWEED,   6.01906e-06,      0.364058,            0,            0,       0.00000
Pickleweed_X197_Y51, PICKLEWEED,   9.37283e-06,      0.591022,            0,            0,       0.00000
Pickleweed_X198_Y50, PICKLEWEED,   9.82369e-06,      0.624802,            0,            0,       0.00000
Pickleweed_X198_Y51, PICKLEWEED,   6.40998e-06,      0.391180,            0,            0,       0.00000
Pickleweed_X199_Y50, PICKLEWEED,   6.12048e-06,      0.375430,            0,            0,       0.00000
Pickleweed_X200_Y50, PICKLEWEED,   5.53460e-06,      0.335811,            0,            0,       0.00000
Pickleweed_X201_Y50, PICKLEWEED,   5.52344e-06,      0.336106,            0,            0,       0.00000
Pickleweed_X215_Y163, PICKLEWEED,   6.18279e-06,      0.372388,            0,            0,       0.00000
Pickleweed_X216_Y163, PICKLEWEED,   6.45620e-06,      0.393284,            0,            0,       0.00000
Pickleweed_X217_Y163, PICKLEWEED,   6.27485e-06,      0.380320,            0,            0,       0.00000
Pickleweed_X218_Y163, PICKLEWEED,   5.94066e-06,      0.357423,            0,            0,       0.00000
ShallowWater_X165_Y174, SHALLOW WATER,   1.27998e-05,      0.388063,            0,            0,       0.00000
ShallowWater_X165_Y175, SHALLOW WATER,   1.25918e-05,      0.385864,            0,            0,       0.00000
ShallowWater_X166_Y174, SHALLOW WATER,   1.18104e-05,      0.356853,            0,            0,       0.00000
ShallowWater_X200_Y59, SHALLOW WATER,   5.66973e-06,      0.284861,            0,            0,       0.00000
